date,username,tweet_retweet_count,tweet_favorite_count,user_follower_count,user_friends_count,user_listed_count,user_verified_status,user_favorites_count,user_num_of_tweets,tweet
02/07/2017,FragileLamplite,829,0,318,1037,15,False,2592,5489,"RT @AbbyMartin: Remember Blackwater's genocidal founder Erik Prince, who thinks America is in a holy war against Islam? BETSY DEVOS IS HIS…"
02/07/2017,BrendaDebbie,15079,0,72,396,2,False,60,536,RT @UltraViolet: Thank you to the @SenateDems for holding the Senate floor and voting no against Betsy DeVos. Retweet to cheer them on! #ho…
02/07/2017,RKizza18,7983,0,183,177,2,False,123,4288,"RT @ALT_DOJ: The Senators who voted for DeVos whose terms are up in 2018

Flake AZ
Wicker MS
Fischer NE
Heller NV
Corker TN
Cruz TX
Hatch U…"
02/07/2017,soit_goes,0,1,7934,1394,248,False,12536,45860,Devos will be horrible for public education but lets not kid ourselves and pretend the democrats were out there saving our schools.
02/07/2017,pvulgarity,44,0,53,287,3,False,19157,2571,"RT @ParkerMolloy: On the plus side to DeVos getting confirmed and Trump speeding climate-change, maybe our kids will learn how to build an…"
02/07/2017,solak,5906,0,481,1385,60,False,9902,10521,"RT @brianklaas: Just so we're clear, in the rest of the world there's a word for this: corruption. #DeVos https://t.co/xNt3Fqn26I"
02/07/2017,StanleyStone05,0,0,371,1164,10,False,3619,6361,@MOOK_da_MAN Trump is far from perfect. DeVos may fail miserable. But so did Hillary and Kerry.
02/07/2017,amayakalki,347,0,314,961,6,False,837,978,RT @RoseAnnDeMoro: #DeVos has never attended or taught at a public school but she will now lead the Dept. of Edu. https://t.co/fxuyNABcOE #…
02/07/2017,RogerBurnsNYC,950,0,107,361,3,False,325,2623,"RT @adamjohnsonNYC: remember when you gave a speech at DeVos's school privatization org and called it ""incredible"" https://t.co/tKLJLBNT8a"
02/07/2017,samlaurishke,1990,0,249,205,3,False,731,14957,RT @esheikh_: Betsy DeVos paid her way into becoming the Secretary of Education. That is called corruption. https://t.co/NqdVy4dITm
