Column1,Column2,Column3
@FragileLamplite,@AbbyMartin,RT
@BrendaDebbie,@UltraViolet,RT
@BrendaDebbie,@SenateDems,Mention
@RKizza18,@ALT_DOJ,RT
@soit_goes,@soit_goes,Tweet
@pvulgarity,@ParkerMolloy,RT
@solak,@brianklaas,RT
@StanleyStone05,@MOOK_da_MAN,Reply
@amayakalki,@RoseAnnDeMoro,RT
@RogerBurnsNYC,@adamjohnsonNYC,RT
@samlaurishke,@esheikh_,RT
@RPhillipsMath,@azalben,RT
@ResistTilDeath,@Bipartisanism,RT
@sojoey,@SethMacFarlane,RT
@keishajo9,@tonyposnanski,RT
@riasmomma,@urbaninstitute,RT
@KimRoyCranston,@washingtonpost,RT
@edisoncummings_,@GeorgeTakei,RT
@jaye_RBP,@rmasher2,RT
@autymn_cutts,@esheikh_,RT
@Saya_relativity,@girlsreallyrule,RT
@CherylLeutjen,@ALT_DOJ,RT
@CherylLeutjen,@AltNatParkSer,Mention
@spenceville,@SethMacFarlane,RT
@mizwizmizwiz,@ed_kilgore,RT
@JamesHydenDJ,@SethMacFarlane,RT
@RichardGMedlock,@RichardGMedlock,Tweet
@LauraAbril,@MMFlint,RT
@enza1918,@The_Dailey,RT
@enza1918,@BetsyDeVos,Mention
@maxmcl3an,@maxmcl3an,Tweet
@tbake7,@KamalaHarris,RT
@psundin11,@charliekirk11,RT
@shadyshyy,@billyeichner,RT
@shadyshyy,@GOP,Mention
@RueRants,@RueRants,Tweet
@BethCassil,@StephenAtHome,RT
@nlentern1,@wilw,RT
@kennyureyes,@tonyposnanski,RT
@C_Grebel,@allisonmpreiss,RT
@C_Grebel,@catbrown66,Mention
@Vickiinmyhead,@Vickiinmyhead,Tweet
@Hollywood_Dave,@StephenAtHome,RT
@kaelee,@jbendery,RT
@FeralKarma,@CNNPolitics,RT
@Bill381987,@TrumpPence45,RT
@anathymadevice,@TribecaFilmIns,RT
@FNunya,@mcgilh,RT
@healthybuttrfly,@StephenAtHome,RT
@Corlene,@RDammeyer,RT
@oscartaracena,@Green_Footballs,RT
@spookziri,@SethMacFarlane,RT
@Cosmicgoo,@SethMacFarlane,RT
@nycricangena,@wlfpack81,RT
@skyrocket228,@skyrocket228,Tweet
@kellynhoffert,@StephenAtHome,RT
@sanluhi,@DemLawStudents,RT
@Resist4Dem,@Resist4Dem,Tweet
@Kcroberts,@StephenAtHome,RT
@DrRamBio,@SariHorwitz,RT
@EmmausTFXC,@MarkBMiller1,RT
@EmmausTFXC,@DianeRavitch,Mention
@EmmausTFXC,@ProfessorJVH,Mention
@EmmausTFXC,@carol,Mention
@reallyhillary,@CMarieAnn,RT
@RobinM329,@AmyMek,RT
@UGetWhatUVote4,@WilcoMeThat,RT
@has_bookpushers,@KateElliottSFF,RT
@Lazarus_Liberty,@CREDOMobile,RT
@Lazarus_Liberty,@SenateGOP,Mention
@ElizabethWade44,@GeneMcVay,RT
@dkmoll,@OhNoSheTwitnt,RT
@wikigamaliel,@wikigamaliel,Tweet
@NoFascistsPls,@People4Bernie,RT
@carmic14,@EugeneLeeYang,RT
@SarieAnneR,@KEBrightbill,RT
@RussellGS1,@ItsDanSheehan,RT
@shaunal80908092,@RonnienDonnie,RT
@txaylorbxrown,@ItsDanSheehan,RT
@NormHeyboer,@SethMacFarlane,RT
@FragileLamplite,@RefuseFascism,RT
@jake_fr97,@vtorress23,RT
@jake_fr97,@charliekirk11,Mention
@jake_fr97,@jake_fr97,Mention
@thelancearthur,@CharlesMBlow,RT
@_kkelly,@jordan_stratton,RT
@JRC1958,@JRC1958,Tweet
@natAndrewson,@audreywatters,RT
